"zip_code_prefix","city","state","lat","lng"
"010",sao paulo,sp,-23.547806958346342,-46.63612181853806
"010",sao paulo,sp,-23.546081127035535,-46.64482029837157
"010",sao paulo,sp,-23.540983825979165,-46.64256855760085
"010",sao paulo,sp,-23.54675842186512,-46.64577102790114
"010",sao paulo,sp,-23.5463617507646,-46.64307284055626
"010",sao paulo,sp,-23.544631844566954,-46.63393720301238
"010",sao paulo,sp,-23.54045127670386,-46.64357021994927
"010",sao paulo,sp,-23.54020740605342,-46.635303814588326
"010",sao paulo,sp,-23.5489584902063,-46.63486176165939
"010",sao paulo,sp,-23.54797349999999,-46.6334685
"010",sao paulo,sp,-23.538015199549932,-46.631947411045076
"010",sao paulo,sp,-23.5492954052167,-46.63207469510652
"010",sao paulo,sp,-23.547634911449112,-46.641159240637045
"010",sao paulo,sp,-23.54533828642738,-46.63358224756194
"010",sao paulo,sp,-23.55046690313923,-46.63523313973692
"010",sao paulo,sp,-23.5439473297362,-46.63739650167344
"010",sao paulo,sp,-23.54961248124544,-46.63653202553522
"010",sao paulo,sp,-23.551387491805688,-46.631432373708854
"010",sao paulo,sp,-23.55001091199737,-46.63116636914989
"010",sao paulo,sp,-23.536810801835053,-46.63572116276196
"010",sao paulo,sp,-23.545450466558925,-46.63565673674192
"010",sao paulo,sp,-23.54394221638233,-46.641445640134
"010",sao paulo,sp,-23.539021407438398,-46.63072986511052
"010",sao paulo,sp,-23.546081127035535,-46.64482029837157
"010",sao paulo,sp,-23.547639550320632,-46.63603162315495
"010",sao paulo,sp,-23.540654472935568,-46.62894329724743
"010",sao paulo,sp,-23.54693540437998,-46.63658792659698
"010",sao paulo,sp,-23.546420999999995,-46.63436151110851
"010",sao paulo,sp,-23.537863257833738,-46.632533050233725
"010",sao paulo,sp,-23.542460235356934,-46.63618792951116
"010",sao paulo,sp,-23.53759400138498,-46.63035901485941
"010",sao paulo,sp,-23.546081127035535,-46.64482029837157
"010",sao paulo,sp,-23.545292448237063,-46.64313044073523
"010",sao paulo,sp,-23.541593762969626,-46.64189378810082
"010",sao paulo,sp,-23.54549529358727,-46.64422479530947
"010",sao paulo,sp,-23.54472059810152,-46.640515568959614
"010",sao paulo,sp,-23.534879478157738,-46.639559272120486
"010",sao paulo,sp,-23.54044583873858,-46.631557435195326
"010",sao paulo,sp,-23.54057517958329,-46.63193609033991
"010",sao paulo,sp,-23.544184662502165,-46.63264375243805
"010",sao paulo,sp,-23.548722622251763,-46.64376241424774
"010",sao paulo,sp,-23.542828083530566,-46.63939930668248
"010",sao paulo,sp,-23.540983825979165,-46.64256855760085
"010",sao paulo,sp,-23.547806958346342,-46.63612181853806
"010",sao paulo,sp,-23.538015199549932,-46.631947411045076
"010",sao paulo,sp,-23.540796722482114,-46.63647342862273
"010",sao paulo,sp,-23.548551065785627,-46.63507239078997
"010",sao paulo,sp,-23.54533828642738,-46.63358224756194
"010",sao paulo,sp,-23.55223547100232,-46.6284406588955
"010",sao paulo,sp,-23.5439473297362,-46.63739650167344
"010",sao paulo,sp,-23.548747379681476,-46.632222676784664
"010",sao paulo,sp,-23.547170116019362,-46.639570390501504
"010",sao paulo,sp,-23.5498252739339,-46.63396956010149
"010",sao paulo,sp,-23.549773516504185,-46.64559900666509
"010",sao paulo,sp,-23.542303065497162,-46.64280268887412
"010",sao paulo,sp,-23.547475918662467,-46.6403178244561
"010",sao paulo,sp,-23.536424723844398,-46.63138992423106
"010",sao paulo,sp,-23.539439503750902,-46.63306386663973
"010",sao paulo,sp,-23.551336655288804,-46.63402699777831
"010",sao paulo,sp,-23.544926340816048,-46.63828813168683
"010",sao paulo,sp,-23.54660531805078,-46.641982174447385
"010",sao paulo,sp,-23.549844542039416,-46.645819758122194
"010",sao paulo,sp,-23.547794628585642,-46.63023791550086
"010",sao paulo,sp,-23.54472059810152,-46.640515568959614
"010",sao paulo,sp,-23.541700023861782,-46.64131782056096
"010",sao paulo,sp,-23.546453343326203,-46.63394723397195
"010",sao paulo,sp,-23.546381972243076,-46.642893706619056
"010",sao paulo,sp,-23.550096635581966,-46.637934794477474
"010",sao paulo,sp,-23.551489508194305,-46.63140317736157
"010",sao paulo,sp,-23.540410813203355,-46.631264935195325
"010",sao paulo,sp,-23.54275397723474,-46.641482026083494
"010",sao paulo,sp,-23.552495528997667,-46.632059999999996
"010",sao paulo,sp,-23.544310431040376,-46.632278959893824
"010",sao paulo,sp,-23.53984025062037,-46.6302639919499
"010",sao paulo,sp,-23.54045127670386,-46.64357021994927
"010",sao paulo,sp,-23.549773516504185,-46.64559900666509
"010",sao paulo,sp,-23.54718811601936,-46.639588390501515
"010",sao paulo,sp,-23.548755593946588,-46.642789203733535
"010",sao paulo,sp,-23.552482452132203,-46.62938955675458
"010",sao paulo,sp,-23.552151883432384,-46.63080224715792
"010",sao paulo,sp,-23.540272502625726,-46.64390844295695
"010",sao paulo,sp,-23.54639669248079,-46.643059340556235
"010",sao paulo,sp,-23.546690486964888,-46.635446958807194
"010",sao paulo,sp,-23.54069108510848,-46.63395529665179
"010",sao paulo,sp,-23.539439503750902,-46.63306386663973
"010",sao paulo,sp,-23.536027749379617,-46.632878533585306
"010",sao paulo,sp,-23.548945985189434,-46.63467113292871
"010",sao paulo,sp,-23.545165891770928,-46.643785796266464
"010",sao paulo,sp,-23.552482452132203,-46.62938955675458
"010",sao paulo,sp,-23.540410813203355,-46.631264935195325
"010",sao paulo,sp,-23.545051649171974,-46.64007245239201
"010",sao paulo,sp,-23.539439503750902,-46.63306386663973
"010",sao paulo,sp,-23.543772401610013,-46.63106186900564
"010",sao paulo,sp,-23.543825637515205,-46.637489965577984
"010",sao paulo,sp,-23.549107326677785,-46.644104604074144
"010",sao paulo,sp,-23.541550031075143,-46.64154926949048
"010",sao paulo,sp,-23.542828083530566,-46.63939930668248
"010",sao paulo,sp,-23.549074826533555,-46.63756198557327
"010",sao paulo,sp,-23.54634440022503,-46.639959218564265
"010",sao paulo,sp,-23.54472059810152,-46.640515568959614
"010",sao paulo,sp,-23.549433308067456,-46.64461567513988
"010",sao paulo,sp,-23.539494799586286,-46.632843914149746
"010",sao paulo,sp,-23.54365790536092,-46.6335452993249
"010",sao paulo,sp,-23.54573684263371,-46.640483743407
"010",sao paulo,sp,-23.5398418758395,-46.63514797691531
"010",sao paulo,sp,-23.551192393559933,-46.62828994310116
"010",sao paulo,sp,-23.547052131282804,-46.639477959749584
"010",sao paulo,sp,-23.542828083530566,-46.63939930668248
"010",sao paulo,sp,-23.54552706633389,-46.63355215652955
"010",sao paulo,sp,-23.54043969776091,-46.64371578005073
"010",sao paulo,sp,-23.54045127670386,-46.64357021994927
"010",sao paulo,sp,-23.54033745045876,-46.632073065497174
"010",sao paulo,sp,-23.541853610425484,-46.63513727589531
"010",sao paulo,sp,-23.55188848459232,-46.63008934096028
"010",sao paulo,sp,-23.54304024785041,-46.63192260115993
"010",sao paulo,sp,-23.549048769634727,-46.63111414126611
"010",sao paulo,sp,-23.55221844546711,-46.628131049541224
"010",sao paulo,sp,-23.546081127035535,-46.64482029837157
"010",sao paulo,sp,-23.546774768769353,-46.64251431141433
"010",sao paulo,sp,-23.545322455998683,-46.639722845951944
"010",sao paulo,sp,-23.542520789115148,-46.63533516134283
"010",sao paulo,sp,-23.552482452132203,-46.62938955675458
"010",sao paulo,sp,-23.54630356036128,-46.639095552743875
"010",sao paulo,sp,-23.547052131282804,-46.639477959749584
"010",sao paulo,sp,-23.549074826533555,-46.63756198557327
