order_id,installments,sequential,payment_type,value
c3d9e402b6a0fbe2a5f7fc5b41117c38,4,1,credit_card,237.45
733d6bf02be72825b2c6f120262b9aa9,1,1,credit_card,165.9
b2f6a51bb30b26fbe248117ce5eadcfd,1,1,credit_card,55.95
d10b4156a519c3f1bc880f6600d32a59,7,1,credit_card,151.76
80606b26965c5ed21e85a085e0667b63,4,1,credit_card,178.11
192d633729390775ba7a8449f05a08fa,1,1,credit_card,52.08
dd359d3c294458c6d642b2eea9212bf5,1,1,boleto,177.2
7c0bc42e247136ce82a02acdda47fd95,10,1,credit_card,123.54
c160e5b8f291461f63ad1d056fa33e10,3,1,credit_card,342.32
79ffdd52a918bbe867895a4b183d6457,10,1,credit_card,319.0
fc3ff005fe8350241fc153d6828070c4,10,1,credit_card,121.56
0c23e216707906b2996b9e2a5bf5ca93,2,1,credit_card,64.44
dfb280fc0b3023eab3431ce99fb9199f,1,1,boleto,65.25
fc8c2e8bc069aea361c41c313464993c,1,1,boleto,31.11
c4b41c36dd589e901f6879f25a74ec1d,1,1,credit_card,18.62
5b1376fe61863fe3508011db309e35fe,1,1,boleto,177.28
fbbc9a4fa88f1ccd651790df665b3e57,1,1,boleto,119.43
52bc901220b1c0ed5b4e9a041f6da634,1,1,credit_card,39.33
623883c77e4cbc397f09c715417b491e,1,1,credit_card,87.8
12413993ff593bb0844a8cfb076df5ae,1,1,credit_card,100.6
63638a6806d67773f3adba8534553fff,1,1,voucher,15.1
63638a6806d67773f3adba8534553fff,1,2,voucher,11.99
63638a6806d67773f3adba8534553fff,1,3,voucher,9.02
63638a6806d67773f3adba8534553fff,1,4,voucher,10.56
63638a6806d67773f3adba8534553fff,1,5,voucher,34.19
63638a6806d67773f3adba8534553fff,1,6,voucher,5.28
63638a6806d67773f3adba8534553fff,1,7,voucher,0.74
ebf082c217dd3dfc22c83d409c8b5a85,1,1,boleto,99.74
d9895e0b355d768603e28eedbe9e781e,5,1,credit_card,245.65
4a9ffdc4ca61423705dfa9a931021f1f,1,1,credit_card,66.55
da96a10a74df35ed3c4a3199df86ba08,3,1,credit_card,96.44
36989eb07a0de2d3d3129eea35553875,10,1,credit_card,101.44
0dba2443460054bb1239be2dc2518526,2,1,credit_card,26.39
2377f2b3c1499e467e88243d9688ed98,6,1,credit_card,126.08
